WKT,Hyperlink,CAPT,DISCUSSION,YEAR_MO_DA,Shape_X,Shape_Y
"POINT (-90.77869385305 38.5878620601355)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-23.xml&_xslsrc=LCstyles.xsl,L&C,1 mile above St Albans,1804-05-23,-90.7786938531,38.5878620601
"POINT (-90.9328826359638 38.5386995062495)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-24.xml&_xslsrc=LCstyles.xsl,L&C,about 2 miles below Dubois Creek,1804-05-24,-90.932882636,38.5386995062
"POINT (-91.0503910651417 38.6106404967585)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-25.xml&_xslsrc=LCstyles.xsl,L&C,at Charriton,1804-05-25,-91.0503910651,38.6106404968
"POINT (-91.2937343126446 38.6956321114703)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-26.xml&_xslsrc=LCstyles.xsl,L&C,3 miles SE of Gore,1804-05-26,-91.2937343126,38.6956321115
"POINT (-91.5487546311683 38.6822985087112)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-27.xml&_xslsrc=LCstyles.xsl,L&C,near Gasconade,1804-05-27/28,-91.5487546312,38.6822985087
"POINT (-91.6037587023904 38.6922971244414)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-29.xml&_xslsrc=LCstyles.xsl,L&C,2 miles SE of Bluffton,1804-05-29,-91.6037587024,38.6922971244
"POINT (-91.8554427147798 38.6756217128156)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-05-30.xml&_xslsrc=LCstyles.xsl,L&C,near Mokane,1804-05-30/31,-91.8554427148,38.6756217128
"POINT (-91.9787729492443 38.5739467978435)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-01.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Osage River,1804-06-01/02,-91.9787729492,38.5739467978
"POINT (-92.0737756376741 38.5606129148083)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-03.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Moreau River,1804-06-03,-92.0737756377,38.5606129148
"POINT (-92.3437790170088 38.6806037410186)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-04.xml&_xslsrc=LCstyles.xsl,L&C,near mouth of Rock Creek,1804-06-04,-92.343779017,38.680603741
"POINT (-92.4121144499666 38.8222801268999)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-05.xml&_xslsrc=LCstyles.xsl,L&C,1½ miles west of Little Bon Femme,1804-06-05,-92.41211445,38.8222801269
"POINT (-92.5271141630337 38.9389442423328)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-06.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles SE I-70 bridge,1804-06-06,-92.527114163,38.9389442423
"POINT (-92.7104386119202 38.983932973953)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-07.xml&_xslsrc=LCstyles.xsl,L&C,3 miles east of Boonville,1804-06-07,-92.7104386119,38.983932974
"POINT (-92.8887745264894 39.0122640011939)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-08.xml&_xslsrc=LCstyles.xsl,L&C,south end of Wallace Island,1804-06-08,-92.8887745265,39.0122640012
"POINT (-92.8954400977628 39.1822749542375)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-09.xml&_xslsrc=LCstyles.xsl,L&C,3 miles SW of Glasgow,1804-06-09,-92.8954400978,39.1822749542
"POINT (-92.9537773840163 39.2806026704182)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-10.xml&_xslsrc=LCstyles.xsl,L&C,near mouth of Bear Creek,1804-06-10/11,-92.953777384,39.2806026704
"POINT (-93.0587816129855 39.3289325218811)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-12.xml&_xslsrc=LCstyles.xsl,L&C,4 miles NW of New Frankfort,1804-06-12,-93.058781613,39.3289325219
"POINT (-93.1604675596184 39.4272717508229)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-13.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Grand River,1804-06-13,-93.1604675596,39.4272717508
"POINT (-93.3421395036408 39.2489221090521)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-15.xml&_xslsrc=LCstyles.xsl,L&C,NE of Malta Bend,1804-06-15,-93.3421395036,39.2489221091
"POINT (-93.5054742051421 39.2222566610102)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-16.xml&_xslsrc=LCstyles.xsl,L&C,about 1 mile below US 24 bridge,1804-06-16,-93.5054742051,39.222256661
"POINT (-93.5221451213202 39.2205888387464)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-17.xml&_xslsrc=LCstyles.xsl,L&C,½ mile above US 24 bridge,1804-06-17/18,-93.5221451213,39.2205888387
"POINT (-93.7804854631154 39.2072440329847)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-19.xml&_xslsrc=LCstyles.xsl,L&C,near mouth Crooked River,1804-06-19,-93.7804854631,39.207244033
"POINT (-93.9638220527329 39.162237886411)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-20.xml&_xslsrc=LCstyles.xsl,L&C,3½ miles SW of Lexington,1804-06-20,-93.9638220527,39.1622378864
"POINT (-94.0104911954228 39.1938952193647)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-21.xml&_xslsrc=LCstyles.xsl,L&C,near Camden,1804-06-21,-94.0104911954,39.1938952194
"POINT (-94.1504906177068 39.1738889170753)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-22.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles SW of Floyd,1804-06-22,-94.1504906177,39.1738889171
"POINT (-94.1788184440158 39.2022314332935)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-23.xml&_xslsrc=LCstyles.xsl,L&C,1½ miles NE of Ft. Osage,1804-06-23,-94.178818444,39.2022314333
"POINT (-94.3238253200352 39.2072249814726)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-24.xml&_xslsrc=LCstyles.xsl,L&C,near Atherton-Missouri City,1804-06-24,-94.32382532,39.2072249815
"POINT (-94.4321667139281 39.1455556310549)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-25.xml&_xslsrc=LCstyles.xsl,L&C,about 2 miles below of Indepndence,1804-06-25,-94.4321667139,39.1455556311
"POINT (-94.5971735853134 39.1222234716375)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-26.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Kansas River,1804-06-26/28,-94.5971735853,39.1222234716
"POINT (-94.6555025244213 39.1605542228815)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-29.xml&_xslsrc=LCstyles.xsl,L&C,I-639 bridge over Missouri River,1804-06-29,-94.6555025244,39.1605542229
"POINT (-94.7871751380449 39.1988829694081)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-06-30.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles south of Waldon,1804-06-30,-94.787175138,39.1988829694
"POINT (-94.885512112298 39.3238800003536)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-01.xml&_xslsrc=LCstyles.xsl,L&C,east of Leavenworth,1804-07-01,-94.8855121123,39.3238800004
"POINT (-94.9505078093537 39.4155474726703)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-02.xml&_xslsrc=LCstyles.xsl,L&C,1 mile north of Kickapoo,1804-07-02,-94.9505078094,39.4155474727
"POINT (-95.0171820731965 39.503874969926)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-03.xml&_xslsrc=LCstyles.xsl,L&C,1 mile west of Bean Lake Creek,1804-07-03,-95.0171820732,39.5038749699
"POINT (-95.0788491420187 39.6138784284684)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-04.xml&_xslsrc=LCstyles.xsl,L&C,2 miles south of Doniphan,1804-07-04,-95.078849142,39.6138784285
"POINT (-94.9771863871916 39.6572156240288)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-05.xml&_xslsrc=LCstyles.xsl,L&C,2 miles north of Hall,1804-07-05,-94.9771863872,39.657215624
"POINT (-94.9805235718782 39.7322166560524)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-06.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Walnut Creek,1804-07-06,-94.9805235719,39.7322166561
"POINT (-94.8988496445613 39.7972172317904)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-07.xml&_xslsrc=LCstyles.xsl,L&C,2 miles NW of St Joseph,1804-07-07,-94.8988496446,39.7972172318
"POINT (-95.0021968258862 39.902219162862)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-08.xml&_xslsrc=LCstyles.xsl,L&C,Holt-Andrews County line,1804-07-08,-95.0021968259,39.9022191629
"POINT (-95.1871973765826 39.9088842523304)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-09.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Missouri Creek,1804-07-09,-95.1871973766,39.9088842523
"POINT (-95.2938595874442 39.9838893653872)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-10.xml&_xslsrc=LCstyles.xsl,L&C,near White Cloud,1804-07-10,-95.2938595874,39.9838893654
"POINT (-95.3722079830203 40.0355628753281)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-11.xml&_xslsrc=LCstyles.xsl,L&C,mouth of Big Nemaha River,1804-07-11/12,-95.372207983,40.0355628753
"POINT (-95.4705379782619 40.210564544404)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-13.xml&_xslsrc=LCstyles.xsl,L&C,3 miles south of Corning,1804-07-13,-95.4705379783,40.2105645444
"POINT (-95.5522072442207 40.282237196381)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-14.xml&_xslsrc=LCstyles.xsl,L&C,3 miles SW of Nishnabotna,1804-07-14,-95.5522072442,40.2822371964
"POINT (-95.6372204286376 40.3572427486885)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-15.xml&_xslsrc=LCstyles.xsl,L&C,3 miles east of Langdon,1804-07-15,-95.6372204286,40.3572427487
"POINT (-95.6455492782703 40.5272450339901)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-16.xml&_xslsrc=LCstyles.xsl,L&C,5 miles south of Hamburg,1804-07-16/17,-95.6455492783,40.527245034
"POINT (-95.7672345321595 40.6322484887382)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-18.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles south of Payne,1804-07-18,-95.7672345322,40.6322484887
"POINT (-95.8739011780037 40.7289091460591)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-19.xml&_xslsrc=LCstyles.xsl,L&C,4 miles NW of Nebraska City,1804-07-19,-95.873901178,40.7289091461
"POINT (-95.8405713156987 40.8389080078039)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-20.xml&_xslsrc=LCstyles.xsl,L&C,2 miles NW of McPaul,1804-07-20,-95.8405713157,40.8389080078
"POINT (-95.8722596424676 41.0922512497019)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-20.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles above Platte River,1804-07-21,-95.8722596425,41.0922512497
"POINT (-95.870591103574 41.1672527968208)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-22.xml&_xslsrc=LCstyles.xsl,L&C,"east of Bellevue; White Catfish Camp",1804-07-22/26,-95.8705911036,41.1672527968
"POINT (-95.8789169330706 41.2955788000208)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-27.xml&_xslsrc=LCstyles.xsl,L&C,north of Council Bluffs,1804-07-27,-95.8789169331,41.2955788
"POINT (-95.9122567999129 41.3722487700129)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-28.xml&_xslsrc=LCstyles.xsl,L&C,near I-680 Missouri River bridge,1804-07-28,-95.9122567999,41.37224877
"POINT (-95.962258341964 41.4672479150475)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-29.xml&_xslsrc=LCstyles.xsl,L&C,4 miles NE of Nashville,1804-07-29,-95.962258342,41.467247915
"POINT (-96.0105917260071 41.4544696738451)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-07-30.xml&_xslsrc=LCstyles.xsl,L&C,"Council Bluff, 1 mile north of Ft Calhoun",1804-07-30/31,-96.010591726,41.4544696738
"POINT (-96.0105917260071 41.4544696738451)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-01.xml&_xslsrc=LCstyles.xsl,L&C,"Council Bluff, 1 mile north of Ft Calhoun",1804-08-01/02,-96.010591726,41.4544696738
"POINT (-95.9855880606098 41.5239063205488)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-03.xml&_xslsrc=LCstyles.xsl,L&C,5 miles NNE of Ft Calhoun,1804-08-03,-95.9855880606,41.5239063205
"POINT (-96.0305869279627 41.5689033775428)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-04.xml&_xslsrc=LCstyles.xsl,L&C,6 miles ENE of Blair,1804-08-04,-96.030586928,41.5689033775
"POINT (-96.0605862827585 41.6205716552435)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-05.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles west of Modale,1804-08-05,-96.0605862828,41.6205716552
"POINT (-96.0355907498094 41.7172408194819)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-06.xml&_xslsrc=LCstyles.xsl,L&C,1 mile NW of Mondamin,1804-08-06,-96.0355907498,41.7172408195
"POINT (-96.12559007094 41.7572416558224)","http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-07.xml&_xslsrc=LCstyles.xsl
",L&C,5 miles ESE of Tekamah,1804-08-07,-96.1255900709,41.7572416558
"POINT (-96.1555927324344 41.8989009339435)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-08.xml&_xslsrc=LCstyles.xsl,L&C,4 miles SW of Blencoe,1804-08-08,-96.1555927324,41.8989009339
"POINT (-96.1505978371467 42.033902559735)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-09.xml&_xslsrc=LCstyles.xsl,L&C,3 miles WNW of Onawa,1804-08-09,-96.1505978371,42.0339025597
"POINT (-96.2572729873417 42.0872448315003)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-10.xml&_xslsrc=LCstyles.xsl,L&C,9 miles NW of Onawa,1804-08-10,-96.2572729873,42.0872448315
"POINT (-96.2072752936733 42.1355770745862)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-06.xml&_xslsrc=LCstyles.xsl,L&C,3 miles west of Whiting,1804-08-11,-96.2072752937,42.1355770746
"POINT (-96.3122807623177 42.2322530180192)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-12.xml&_xslsrc=LCstyles.xsl,L&C,4 miles west of Sloan,1804-08-12,-96.3122807623,42.232253018
"POINT (-96.3989475996455 42.3322583802683)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-13.xml&_xslsrc=LCstyles.xsl,L&C,"Fish Camp, 6 miles NW of Salix",1804-08-13/19,-96.3989475996,42.3322583803
"POINT (-96.3906135550556 42.4839218333916)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-20.xml&_xslsrc=LCstyles.xsl,L&C,Sioux City,1804-08-20,-96.3906135551,42.4839218334
"POINT (-96.5822913200898 42.5289270641488)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-21.xml&_xslsrc=LCstyles.xsl,L&C,5 miles west of North Sioux City,1804-08-21,-96.5822913201,42.5289270641
"POINT (-96.7572945119044 42.6772721451392)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-22.xml&_xslsrc=LCstyles.xsl,L&C,4 miles WSW of Elk Point,1804-08-22,-96.7572945119,42.6772721451
"POINT (-96.8372995284251 42.7172751179746)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-23.xml&_xslsrc=LCstyles.xsl,L&C,6 miles SE of Vermillion,1804-08-23,-96.8372995284,42.717275118
"POINT (-96.9389643143432 42.7322741391592)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-24.xml&_xslsrc=LCstyles.xsl,L&C,3½ miles south of Vermillion,1804-08-24,-96.9389643143,42.7322741392
"POINT (-96.9873058047834 42.7622712693325)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-25.xml&_xslsrc=LCstyles.xsl,L&C,3 miles SW of Vermillion,1804-08-25,-96.9873058048,42.7622712693
"POINT (-97.1273112026607 42.7822709058338)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-26.xml&_xslsrc=LCstyles.xsl,L&C,10 miles west of Vermillion,1804-08-26,-97.1273112027,42.7822709058
"POINT (-97.3073205025344 42.8739319196792)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-27.xml&_xslsrc=LCstyles.xsl,L&C,4 miles east of Yankton,1804-08-27,-97.3073205025,42.8739319197
"POINT (-97.4539894405941 42.8489374154383)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-08-28.xml&_xslsrc=LCstyles.xsl,L&C,Calumet Bluff-Gavins Point,1804-08-28/31,-97.4539894406,42.8489374154
"POINT (-97.6906629450474 42.8389366260848)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-01.xml&_xslsrc=LCstyles.xsl,L&C,10 miles west of Gavins Point Dam,1804-09-01,-97.690662945,42.8389366261
"POINT (-97.7473340100608 42.8522777929286)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-02.xml&_xslsrc=LCstyles.xsl,L&C,13½ miles west of Gavins Point Dam,1804-09-02,-97.7473340101,42.8522777929
"POINT (-97.9239962006607 42.7989366867822)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-03.xml&_xslsrc=LCstyles.xsl,L&C,3½ miles NE of Running Water,1804-09-03,-97.9239962007,42.7989366868
"POINT (-98.0439951290137 42.7639377745891)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-04.xml&_xslsrc=LCstyles.xsl,L&C,Niobrara River,1804-09-04,-98.043995129,42.7639377746
"POINT (-98.237348258341 42.865607117402)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-05.xml&_xslsrc=LCstyles.xsl,L&C,9 miles SE of Greenwood,1804-09-05,-98.2373482583,42.8656071174
"POINT (-98.3590082300449 42.8939338120459)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-06.xml&_xslsrc=LCstyles.xsl,L&C,2½ miles SE of Greenwood,1804-09-06,-98.35900823,42.893933812
"POINT (-98.4440080735815 42.9256026959145)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-07.xml&_xslsrc=LCstyles.xsl,L&C,3 miles WNW of Greenwood,1804-09-07,-98.4440080736,42.9256026959
"POINT (-98.6940087617061 43.0822707616089)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-08.xml&_xslsrc=LCstyles.xsl,L&C,7 miles WNW of Ft. Randall 43,1804-09-08,-98.6940087617,43.0822707616
"POINT (-98.8806798221998 43.1872732149192)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-09.xml&_xslsrc=LCstyles.xsl,L&C,10 miles SW of Geddes,1804-09-09,-98.8806798222,43.1872732149
"POINT (-99.0673615079667 43.310612748507)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-10.xml&_xslsrc=LCstyles.xsl,L&C,6½ miles SE of SD 44 bridge,1804-09-10,-99.067361508,43.3106127485
"POINT (-99.2673643056919 43.447286849572)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-11.xml&_xslsrc=LCstyles.xsl,L&C,7½ miles WSW of Platte,1804-09-11,-99.2673643057,43.4472868496
"POINT (-99.3123642752776 43.4872913618103)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-12.xml&_xslsrc=LCstyles.xsl,L&C,9½ miles WSW of Platte,1804-09-12,-99.3123642753,43.4872913618
"POINT (-99.3415250401793 43.6403341925548)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-13.xml&_xslsrc=LCstyles.xsl,L&C,10 miles south of I-90 bridge,1804-09-13,-99.3415250402,43.6403341926
"POINT (-99.4701384455945 43.681720721653)",http://lewisandclarkjournals.unl.edu/read/?_xmlsrc=1804-09-14.xml&_xslsrc=LCstyles.xsl,L&C,2 miles below White River,1804-09-14,-99.4701384456,43.6817207217
